GEO_ID,NAME,Education
42001,"Adams County, Pennsylvania",22828
42003,"Allegheny County, Pennsylvania",273939
42005,"Armstrong County, Pennsylvania",12192
42007,"Beaver County, Pennsylvania",33250
42009,"Bedford County, Pennsylvania",8654
42011,"Berks County, Pennsylvania",103334
42013,"Blair County, Pennsylvania",26141
42015,"Bradford County, Pennsylvania",12021
42017,"Bucks County, Pennsylvania",141863
42019,"Butler County, Pennsylvania",43093
42021,"Cambria County, Pennsylvania",28140
42023,"Cameron County, Pennsylvania",792
42025,"Carbon County, Pennsylvania",11899
42027,"Centre County, Pennsylvania",56606
42029,"Chester County, Pennsylvania",134279
42031,"Clarion County, Pennsylvania",9026
42033,"Clearfield County, Pennsylvania",14363
42035,"Clinton County, Pennsylvania",8403
42037,"Columbia County, Pennsylvania",16546
42039,"Crawford County, Pennsylvania",16828
42041,"Cumberland County, Pennsylvania",60333
42043,"Dauphin County, Pennsylvania",64623
42045,"Delaware County, Pennsylvania",145176
42047,"Elk County, Pennsylvania",5994
42049,"Erie County, Pennsylvania",64237
42051,"Fayette County, Pennsylvania",24261
42053,"Forest County, Pennsylvania",528
42055,"Franklin County, Pennsylvania",32973
42057,"Fulton County, Pennsylvania",2705
42059,"Greene County, Pennsylvania",7557
42061,"Huntingdon County, Pennsylvania",8885
42063,"Indiana County, Pennsylvania",21281
42065,"Jefferson County, Pennsylvania",8366
42067,"Juniata County, Pennsylvania",4396
42069,"Lackawanna County, Pennsylvania",49265
42071,"Lancaster County, Pennsylvania",124262
42073,"Lawrence County, Pennsylvania",17527
42075,"Lebanon County, Pennsylvania",31977
42077,"Lehigh County, Pennsylvania",88279
42079,"Luzerne County, Pennsylvania",69701
42081,"Lycoming County, Pennsylvania",25075
42083,"McKean County, Pennsylvania",8556
42085,"Mercer County, Pennsylvania",23897
42087,"Mifflin County, Pennsylvania",8527
42089,"Monroe County, Pennsylvania",37367
42091,"Montgomery County, Pennsylvania",203311
42093,"Montour County, Pennsylvania",3471
42095,"Northampton County, Pennsylvania",74745
42097,"Northumberland County, Pennsylvania",16402
42099,"Perry County, Pennsylvania",8666
42101,"Philadelphia County, Pennsylvania",397640
42103,"Pike County, Pennsylvania",11504
42105,"Potter County, Pennsylvania",3045
42107,"Schuylkill County, Pennsylvania",27805
42109,"Snyder County, Pennsylvania",9441
42111,"Somerset County, Pennsylvania",12957
42113,"Sullivan County, Pennsylvania",756
42115,"Susquehanna County, Pennsylvania",6903
42117,"Tioga County, Pennsylvania",8248
42119,"Union County, Pennsylvania",10025
42121,"Venango County, Pennsylvania",8954
42123,"Warren County, Pennsylvania",7115
42125,"Washington County, Pennsylvania",43952
42127,"Wayne County, Pennsylvania",8337
42129,"Westmoreland County, Pennsylvania",70994
42131,"Wyoming County, Pennsylvania",5273
42133,"York County, Pennsylvania",101291