GEO_ID,NAME,S1501_C01_001E
42001,"Adams County, Pennsylvania",9647
42003,"Allegheny County, Pennsylvania",107385
42005,"Armstrong County, Pennsylvania",4480
42007,"Beaver County, Pennsylvania",12066
42009,"Bedford County, Pennsylvania",3449
42011,"Berks County, Pennsylvania",40071
42013,"Blair County, Pennsylvania",9448
42015,"Bradford County, Pennsylvania",4279
42017,"Bucks County, Pennsylvania",50287
42019,"Butler County, Pennsylvania",16261
42021,"Cambria County, Pennsylvania",11951
42023,"Cameron County, Pennsylvania",270
42025,"Carbon County, Pennsylvania",4478
42027,"Centre County, Pennsylvania",36952
42029,"Chester County, Pennsylvania",47429
42031,"Clarion County, Pennsylvania",4800
42033,"Clearfield County, Pennsylvania",5741
42035,"Clinton County, Pennsylvania",5263
42037,"Columbia County, Pennsylvania",9686
42039,"Crawford County, Pennsylvania",7749
42041,"Cumberland County, Pennsylvania",24052
42043,"Dauphin County, Pennsylvania",22517
42045,"Delaware County, Pennsylvania",55376
42047,"Elk County, Pennsylvania",2225
42049,"Erie County, Pennsylvania",26366
42051,"Fayette County, Pennsylvania",9231
42053,"Forest County, Pennsylvania",493
42055,"Franklin County, Pennsylvania",11699
42057,"Fulton County, Pennsylvania",1024
42059,"Greene County, Pennsylvania",3313
42061,"Huntingdon County, Pennsylvania",4282
42063,"Indiana County, Pennsylvania",13389
42065,"Jefferson County, Pennsylvania",3218
42067,"Juniata County, Pennsylvania",1745
42069,"Lackawanna County, Pennsylvania",18749
42071,"Lancaster County, Pennsylvania",48405
42073,"Lawrence County, Pennsylvania",6938
42075,"Lebanon County, Pennsylvania",12119
42077,"Lehigh County, Pennsylvania",33545
42079,"Luzerne County, Pennsylvania",27813
42081,"Lycoming County, Pennsylvania",10129
42083,"McKean County, Pennsylvania",3601
42085,"Mercer County, Pennsylvania",10541
42087,"Mifflin County, Pennsylvania",3360
42089,"Monroe County, Pennsylvania",17317
42091,"Montgomery County, Pennsylvania",67142
42093,"Montour County, Pennsylvania",1210
42095,"Northampton County, Pennsylvania",30338
42097,"Northumberland County, Pennsylvania",6538
42099,"Perry County, Pennsylvania",3146
42101,"Philadelphia County, Pennsylvania",153361
42103,"Pike County, Pennsylvania",4310
42105,"Potter County, Pennsylvania",1097
42107,"Schuylkill County, Pennsylvania",10065
42109,"Snyder County, Pennsylvania",4891
42111,"Somerset County, Pennsylvania",5183
42113,"Sullivan County, Pennsylvania",417
42115,"Susquehanna County, Pennsylvania",2645
42117,"Tioga County, Pennsylvania",3419
42119,"Union County, Pennsylvania",5977
42121,"Venango County, Pennsylvania",3386
42123,"Warren County, Pennsylvania",2617
42125,"Washington County, Pennsylvania",17379
42127,"Wayne County, Pennsylvania",3384
42129,"Westmoreland County, Pennsylvania",26197
42131,"Wyoming County, Pennsylvania",2242
42133,"York County, Pennsylvania",36588